
# Sources Go API

| Package | Function Signature |
| syscall | LookupAccountSid(\*uint16,  \*SID,  \*uint16,  \*uint32,  \*uint16,  \*uint32,  \*uint32) error |
| syscall | RegEnumKeyEx(Handle,  uint32,  \*uint16,  \*uint32,  \*uint32,  \*uint16,  \*uint32,  \*Filetime) error |
| syscall | GetLengthSid(\*SID) uint32 |
| syscall | FreeLibrary(Handle) error |
| syscall | Select(int,  \*FdSet,  \*FdSet,  \*FdSet,  \*Timeval) int,  errorint,  error(int,  errorint,  error) |
| syscall | Getppid() int |
| syscall | BindToDevice(int,  string) error |
| syscall | SetNonblock(int,  bool) error |
| syscall | GetCurrentDirectory(uint32,  \*uint16) uint32,  erroruint32,  error(uint32,  erroruint32,  error) |
| syscall | Fallocate(int,  uint32,  int64,  int64) error |
| syscall | Munmap([]uint8) error |
| syscall | FormatMessage(uint32,  uint32,  uint32,  uint32,  []uint16,  \*uint8) uint32,  erroruint32,  error(uint32,  erroruint32,  error) |
| syscall | Getsockname(Handle) Sockaddr,  errorSockaddr,  error(Sockaddr,  errorSockaddr,  error) |
| syscall | Kevent(int,  []Kevent_t,  []Kevent_t,  \*Timespec) int,  errorint,  error(int,  errorint,  error) |
| syscall | CloseHandle(Handle) error |
| syscall | Statfs(string,  \*Statfs_t) error |
| syscall | Splice(int,  \*int64,  int,  \*int64,  int,  int) int,  errorint,  error(int,  errorint,  error) |
| syscall | Fstat(int,  \*Stat_t) error |
| syscall | GetFileInformationByHandle(Handle,  \*ByHandleFileInformation) error |
| syscall | Fchmod(int,  uint32) error |
| syscall | InotifyInit1(int) int,  errorint,  error(int,  errorint,  error) |
| syscall | CryptReleaseContext(Handle,  uint32) error |
| syscall | SetsockoptTimeval(int,  int,  int,  \*Timeval) error |
| syscall | Geteuid() int |
| syscall | Accept(int) int,  Sockaddr,  errorint,  Sockaddr,  error(int,  Sockaddr,  errorint,  Sockaddr,  error) |
| syscall | SetFileTime(Handle,  \*Filetime,  \*Filetime,  \*Filetime) error |
| syscall | Setprivexec(int) error |
| syscall | SetFileAttributes(\*uint16,  uint32) error |
| syscall | Mmap(int,  int64,  int,  int,  int) []uint8,  error[]uint8,  error([]uint8,  error[]uint8,  error) |
| syscall | Fstatfs(int,  \*Statfs_t) error |
| syscall | CertVerifyCertificateChainPolicy(uintptr,  \*CertChainContext,  \*CertChainPolicyPara,  \*CertChainPolicyStatus) error |
| syscall | Fsync(int) error |
| syscall | EscapeArg(string) string |
| syscall | Tee(int,  int,  int,  int) int64,  errorint64,  error(int64,  errorint64,  error) |
| syscall | Getgid() int |
| syscall | RegOpenKeyEx(Handle,  \*uint16,  uint32,  uint32,  \*Handle) error |
| syscall | RawSyscall(uintptr,  uintptr,  uintptr,  uintptr) uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno(uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno) |
| syscall | Adjtimex(\*Timex) int,  errorint,  error(int,  errorint,  error) |
| syscall | SetBpfTimeout(int,  \*Timeval) error |
| syscall | Connect(Handle,  Sockaddr) error |
| syscall | FindClose(Handle) error |
| syscall | SetsockoptIPv6Mreq(int,  int,  int,  \*IPv6Mreq) error |
| syscall | SetBpfBuflen(int,  int) int,  errorint,  error(int,  errorint,  error) |
| syscall | WriteFile(Handle,  []uint8,  \*uint32,  \*Overlapped) error |
| syscall | CancelIo(Handle) error |
| syscall | Seek(Handle,  int64,  int) int64,  errorint64,  error(int64,  errorint64,  error) |
| syscall | WSACleanup() error |
| database/sql/driver | IsValue(interface{}) bool |
| database/sql/driver | IsScanValue(interface{}) bool |
| bufio | NewReader(io.Reader) \*Reader |
| bufio | NewWriter(io.Writer) \*Writer |
| bufio | NewWriterSize(io.Writer,  int) \*Writer |
| bufio | NewReaderSize(io.Reader,  int) \*Reader |
| bufio | NewReadWriter(\*Reader,  \*Writer) \*ReadWriter |
| debug/gosym | NewLineTable([]uint8,  uint64) \*LineTable |
| debug/gosym | NewTable([]uint8,  \*LineTable) \*Table,  error\*Table,  error(\*Table,  error\*Table,  error) |
| compress/bzip2 | NewReader(io.Reader) io.Reader |
| math/rand | ExpFloat64() float64 |
| math/rand | Perm(int) []int |
| math/rand | Int() int |
| math/rand | NewSource(int64) Source |
| math/rand | Int31n(int32) int32 |
| math/rand | Int31() int32 |
| math/rand | Int63() int64 |
| math/rand | Float32() float32 |
| math/rand | Float64() float64 |
| math/rand | Int63n(int64) int64 |
| math/rand | New(Source) \*Rand |
| math/rand | Uint32() uint32 |
| math/rand | Intn(int) int |
| math/rand | NewZipf(\*Rand,  float64,  float64,  uint64) \*Zipf |
| math/rand | NormFloat64() float64 |
| os/user | Current() \*User,  error\*User,  error(\*User,  error\*User,  error) |
| os/user | Lookup(string) \*User,  error\*User,  error(\*User,  error\*User,  error) |
| os/user | LookupId(string) \*User,  error\*User,  error(\*User,  error\*User,  error) |
| io/ioutil | TempDir(string,  string) string,  errorstring,  error(string,  errorstring,  error) |
| io/ioutil | ReadFile(string) []uint8,  error[]uint8,  error([]uint8,  error[]uint8,  error) |
| io/ioutil | TempFile(string,  string) \*os.File,  error\*os.File,  error(\*os.File,  error\*os.File,  error) |
| io/ioutil | NopCloser(io.Reader) io.ReadCloser |
| io/ioutil | ReadAll(io.Reader) []uint8,  error[]uint8,  error([]uint8,  error[]uint8,  error) |
| io/ioutil | WriteFile(string,  []uint8,  os.FileMode) error |
| io/ioutil | ReadDir(string) []os.FileInfo,  error[]os.FileInfo,  error([]os.FileInfo,  error[]os.FileInfo,  error) |
| os/exec | LookPath(string) string,  errorstring,  error(string,  errorstring,  error) |
| os/exec | Command(string,  ...string) \*Cmd |
| runtime/metrics | All() []Description |
| net/rpc/jsonrpc | NewServerCodec(io.ReadWriteCloser) rpc.ServerCodec |
| net/rpc/jsonrpc | NewClient(io.ReadWriteCloser) \*rpc.Client |
| net/rpc/jsonrpc | NewClientCodec(io.ReadWriteCloser) rpc.ClientCodec |
| net/rpc/jsonrpc | Dial(string,  string) \*rpc.Client,  error\*rpc.Client,  error(\*rpc.Client,  error\*rpc.Client,  error) |
| compress/flate | NewReaderDict(io.Reader,  []uint8) io.ReadCloser |
| compress/flate | NewWriterDict(io.Writer,  int,  []uint8) \*Writer,  error\*Writer,  error(\*Writer,  error\*Writer,  error) |
| compress/flate | NewReader(io.Reader) io.ReadCloser |
| compress/flate | NewWriter(io.Writer,  int) \*Writer,  error\*Writer,  error(\*Writer,  error\*Writer,  error) |
| compress/gzip | NewWriter(io.Writer) \*Writer |
| compress/gzip | NewReader(io.Reader) \*Reader,  error\*Reader,  error(\*Reader,  error\*Reader,  error) |
| compress/gzip | NewWriterLevel(io.Writer,  int) \*Writer,  error\*Writer,  error(\*Writer,  error\*Writer,  error) |
| net/http/pprof | Handler(string) http.Handler |
| testing/iotest | TruncateWriter(io.Writer,  int64) io.Writer |
| testing/iotest | DataErrReader(io.Reader) io.Reader |
| testing/iotest | NewReadLogger(string,  io.Reader) io.Reader |
| testing/iotest | NewWriteLogger(string,  io.Writer) io.Writer |
| testing/iotest | OneByteReader(io.Reader) io.Reader |
| testing/iotest | HalfReader(io.Reader) io.Reader |
| testing/iotest | TimeoutReader(io.Reader) io.Reader |
| net/http/httptest | NewRecorder() \*ResponseRecorder |
| net/http/httptest | NewUnstartedServer(http.Handler) \*Server |
| net/http/httptest | NewTLSServer(http.Handler) \*Server |
| net/http/httptest | NewServer(http.Handler) \*Server |
| net/http/cgi | Request() \*http.Request,  error\*http.Request,  error(\*http.Request,  error\*http.Request,  error) |
| net/http/cgi | RequestFromMap(map[string]string) \*http.Request,  error\*http.Request,  error(\*http.Request,  error\*http.Request,  error) |
| net/http/cgi | Serve(http.Handler) error |
| net/http/fcgi | Serve(net.Listener,  http.Handler) error |
| net | LookupMX(string) []\*MX,  error[]\*MX,  error([]\*MX,  error[]\*MX,  error) |
| net | ResolveUnixAddr(string,  string) \*UnixAddr,  error\*UnixAddr,  error(\*UnixAddr,  error\*UnixAddr,  error) |
| net | FileListener(\*os.File) Listener,  errorListener,  error(Listener,  errorListener,  error) |
| net | IPv4(uint8,  uint8,  uint8,  uint8) IP |
| net | InterfaceAddrs() []Addr,  error[]Addr,  error([]Addr,  error[]Addr,  error) |
| net | Pipe() Conn,  ConnConn,  Conn(Conn,  ConnConn,  Conn) |
| net | LookupCNAME(string) string,  errorstring,  error(string,  errorstring,  error) |
| net | LookupIP(string) []IP,  error[]IP,  error([]IP,  error[]IP,  error) |
| net | LookupPort(string,  string) int,  errorint,  error(int,  errorint,  error) |
| net | ListenUnixgram(string,  \*UnixAddr) \*UDPConn,  error\*UDPConn,  error(\*UDPConn,  error\*UDPConn,  error) |
| net | InterfaceByIndex(int) \*Interface,  error\*Interface,  error(\*Interface,  error\*Interface,  error) |
| net | ListenTCP(string,  \*TCPAddr) \*TCPListener,  error\*TCPListener,  error(\*TCPListener,  error\*TCPListener,  error) |
| net | ListenIP(string,  \*IPAddr) \*IPConn,  error\*IPConn,  error(\*IPConn,  error\*IPConn,  error) |
| net | ResolveUDPAddr(string,  string) \*UDPAddr,  error\*UDPAddr,  error(\*UDPAddr,  error\*UDPAddr,  error) |
| net | DialTimeout(string,  string,  time.Duration) Conn,  errorConn,  error(Conn,  errorConn,  error) |
| net | FilePacketConn(\*os.File) PacketConn,  errorPacketConn,  error(PacketConn,  errorPacketConn,  error) |
| net | ListenUDP(string,  \*UDPAddr) \*UDPConn,  error\*UDPConn,  error(\*UDPConn,  error\*UDPConn,  error) |
| net | ResolveIPAddr(string,  string) \*IPAddr,  error\*IPAddr,  error(\*IPAddr,  error\*IPAddr,  error) |
| net | CIDRMask(int,  int) IPMask |
| net | LookupHost(string) []string,  error[]string,  error([]string,  error[]string,  error) |
| net | JoinHostPort(string,  string) string |
| net | ResolveTCPAddr(string,  string) \*TCPAddr,  error\*TCPAddr,  error(\*TCPAddr,  error\*TCPAddr,  error) |
| net | Dial(string,  string) Conn,  errorConn,  error(Conn,  errorConn,  error) |
| net | FileConn(\*os.File) Conn,  errorConn,  error(Conn,  errorConn,  error) |
| net | SplitHostPort(string) string,  string,  errorstring,  string,  error(string,  string,  errorstring,  string,  error) |
| net | DialUnix(string,  \*UnixAddr,  \*UnixAddr) \*UnixConn,  error\*UnixConn,  error(\*UnixConn,  error\*UnixConn,  error) |
| net | LookupAddr(string) []string,  error[]string,  error([]string,  error[]string,  error) |
| net | InterfaceByName(string) \*Interface,  error\*Interface,  error(\*Interface,  error\*Interface,  error) |
| net | LookupTXT(string) []string,  error[]string,  error([]string,  error[]string,  error) |
| net | ListenUnix(string,  \*UnixAddr) \*UnixListener,  error\*UnixListener,  error(\*UnixListener,  error\*UnixListener,  error) |
| net | DialUDP(string,  \*UDPAddr,  \*UDPAddr) \*UDPConn,  error\*UDPConn,  error(\*UDPConn,  error\*UDPConn,  error) |
| net | Interfaces() []Interface,  error[]Interface,  error([]Interface,  error[]Interface,  error) |
| net | ParseIP(string) IP |
| net | IPv4Mask(uint8,  uint8,  uint8,  uint8) IPMask |
| net | Listen(string,  string) Listener,  errorListener,  error(Listener,  errorListener,  error) |
| net | DialTCP(string,  \*TCPAddr,  \*TCPAddr) \*TCPConn,  error\*TCPConn,  error(\*TCPConn,  error\*TCPConn,  error) |
| net | DialIP(string,  \*IPAddr,  \*IPAddr) \*IPConn,  error\*IPConn,  error(\*IPConn,  error\*IPConn,  error) |
| net | ParseMAC(string) HardwareAddr,  errorHardwareAddr,  error(HardwareAddr,  errorHardwareAddr,  error) |
| net | LookupSRV(string,  string,  string) string,  []\*SRV,  errorstring,  []\*SRV,  error(string,  []\*SRV,  errorstring,  []\*SRV,  error) |
| net | ListenPacket(string,  string) PacketConn,  errorPacketConn,  error(PacketConn,  errorPacketConn,  error) |
| net | ListenMulticastUDP(string,  \*Interface,  \*UDPAddr) \*UDPConn,  error\*UDPConn,  error(\*UDPConn,  error\*UDPConn,  error) |
| net | ParseCIDR(string) IP,  \*IPNet,  errorIP,  \*IPNet,  error(IP,  \*IPNet,  errorIP,  \*IPNet,  error) |
| runtime/debug | Stack() []uint8 |
| net/smtp | CRAMMD5Auth(string,  string) Auth |
| net/smtp | PlainAuth(string,  string,  string,  string) Auth |
| net/smtp | NewClient(net.Conn,  string) \*Client,  error\*Client,  error(\*Client,  error\*Client,  error) |
| net/smtp | Dial(string) \*Client,  error\*Client,  error(\*Client,  error\*Client,  error) |
| net/smtp | SendMail(string,  Auth,  string,  []string,  []uint8) error |
| os | Lstat(string) FileInfo,  errorFileInfo,  error(FileInfo,  errorFileInfo,  error) |
| os | SameFile(FileInfo,  FileInfo) bool |
| os | Hostname() string,  errorstring,  error(string,  errorstring,  error) |
| os | Chtimes(string,  time.Time,  time.Time) error |
| os | StartProcess(string,  []string,  \*ProcAttr) \*Process,  error\*Process,  error(\*Process,  error\*Process,  error) |
| os | Geteuid() int |
| os | NewSyscallError(string,  error) error |
| os | Readlink(string) string,  errorstring,  error(string,  errorstring,  error) |
| os | Mkdir(string,  FileMode) error |
| os | IsPathSeparator(uint8) bool |
| os | Link(string,  string) error |
| os | Getuid() int |
| os | Open(string) \*File,  error\*File,  error(\*File,  error\*File,  error) |
| os | Getwd() string,  errorstring,  error(string,  errorstring,  error) |
| os | Getpid() int |
| os | Setenv(string,  string) error |
| os | Pipe() \*File,  \*File,  error\*File,  \*File,  error(\*File,  \*File,  error\*File,  \*File,  error) |
| os | Remove(string) error |
| os | Getppid() int |
| os | ExpandEnv(string) string |
| os | IsNotExist(error) bool |
| os | Getgid() int |
| os | Getgroups() []int,  error[]int,  error([]int,  error[]int,  error) |
| os | RemoveAll(string) error |
| os | Chmod(string,  FileMode) error |
| os | Lchown(string,  int,  int) error |
| os | Symlink(string,  string) error |
| os | IsExist(error) bool |
| os | Truncate(string,  int64) error |
| os | IsPermission(error) bool |
| os | FindProcess(int) \*Process,  error\*Process,  error(\*Process,  error\*Process,  error) |
| os | Chdir(string) error |
| os | Chown(string,  int,  int) error |
| os | NewFile(uintptr,  string) \*File |
| os | OpenFile(string,  int,  FileMode) \*File,  error\*File,  error(\*File,  error\*File,  error) |
| os | Rename(string,  string) error |
| os | Create(string) \*File,  error\*File,  error(\*File,  error\*File,  error) |
| os | Environ() []string |
| os | MkdirAll(string,  FileMode) error |
| os | Stat(string) FileInfo,  errorFileInfo,  error(FileInfo,  errorFileInfo,  error) |
| os | Getenv(string) string |
| os | Getegid() int |
| os | Getpagesize() int |
| os | TempDir() string |
| image | RegisterFormat(string,  string,  func(io.Reader) Image,  error,  funcio.Reader Config,  errorImage,  error,  funcio.Reader Config,  error(Image,  error,  funcio.Reader Config,  errorImage,  error,  funcio.Reader Config,  error) |
| archive/tar | NewReader(io.Reader) \*Reader |
| archive/tar | NewWriter(io.Writer) \*Writer |
| compress/zlib | NewReaderDict(io.Reader,  []uint8) io.ReadCloser,  errorio.ReadCloser,  error(io.ReadCloser,  errorio.ReadCloser,  error) |
| compress/zlib | NewWriter(io.Writer) \*Writer |
| compress/zlib | NewWriterLevelDict(io.Writer,  int,  []uint8) \*Writer,  error\*Writer,  error(\*Writer,  error\*Writer,  error) |
| compress/zlib | NewReader(io.Reader) io.ReadCloser,  errorio.ReadCloser,  error(io.ReadCloser,  errorio.ReadCloser,  error) |
| compress/zlib | NewWriterLevel(io.Writer,  int) \*Writer,  error\*Writer,  error(\*Writer,  error\*Writer,  error) |
| net/http/httputil | NewSingleHostReverseProxy(\*url.URL) \*ReverseProxy |
| net/http/httputil | DumpResponse(\*http.Response,  bool) []uint8,  error[]uint8,  error([]uint8,  error[]uint8,  error) |
| net/http/httputil | DumpRequest(\*http.Request,  bool) []uint8,  error[]uint8,  error([]uint8,  error[]uint8,  error) |
| net/http/httputil | NewServerConn(net.Conn,  \*bufio.Reader) \*ServerConn |
| net/http/httputil | NewChunkedReader(io.Reader) io.Reader |
| net/http/httputil | NewProxyClientConn(net.Conn,  \*bufio.Reader) \*ClientConn |
| net/http/httputil | NewClientConn(net.Conn,  \*bufio.Reader) \*ClientConn |
| net/http/httputil | DumpRequestOut(\*http.Request,  bool) []uint8,  error[]uint8,  error([]uint8,  error[]uint8,  error) |
| net/http/httputil | NewChunkedWriter(io.Writer) io.WriteCloser |
| io | WriteString(Writer,  string) int,  errorint,  error(int,  errorint,  error) |
| io | ReadAtLeast(Reader,  []uint8,  int) int,  errorint,  error(int,  errorint,  error) |
| io | LimitReader(Reader,  int64) Reader |
| io | TeeReader(Reader,  Writer) Reader |
| io | ReadFull(Reader,  []uint8) int,  errorint,  error(int,  errorint,  error) |
| io | Pipe() \*PipeReader,  \*PipeWriter\*PipeReader,  \*PipeWriter(\*PipeReader,  \*PipeWriter\*PipeReader,  \*PipeWriter) |
| io | NewSectionReader(ReaderAt,  int64,  int64) \*SectionReader |
| io | MultiReader(...Reader) Reader |
| io | CopyN(Writer,  Reader,  int64) int64,  errorint64,  error(int64,  errorint64,  error) |
| io | MultiWriter(...Writer) Writer |
| io | Copy(Writer,  Reader) int64,  errorint64,  error(int64,  errorint64,  error) |
| runtime/trace | Start(io.Writer) error |
| archive/zip | NewReader(io.ReaderAt,  int64) \*Reader,  error\*Reader,  error(\*Reader,  error\*Reader,  error) |
| archive/zip | OpenReader(string) \*ReadCloser,  error\*ReadCloser,  error(\*ReadCloser,  error\*ReadCloser,  error) |
| archive/zip | NewWriter(io.Writer) \*Writer |
| archive/zip | FileInfoHeader(os.FileInfo) \*FileHeader,  error\*FileHeader,  error(\*FileHeader,  error\*FileHeader,  error) |
| runtime | Version() string |
| runtime | GOMAXPROCS(int) int |
| runtime | FuncForPC(uintptr) \*Func |
| runtime | NumGoroutine() int |
| runtime | Callers(int,  []uintptr) int |
| runtime | Caller(int) uintptr,  string,  int,  booluintptr,  string,  int,  bool(uintptr,  string,  int,  booluintptr,  string,  int,  bool) |
| runtime | MemProfile([]MemProfileRecord,  bool) int,  boolint,  bool(int,  boolint,  bool) |
| runtime | NumCgoCall() int64 |
| runtime | CPUProfile() []uint8 |
| runtime | ThreadCreateProfile([]StackRecord) int,  boolint,  bool(int,  boolint,  bool) |
| runtime | GoroutineProfile([]StackRecord) int,  boolint,  bool(int,  boolint,  bool) |
| runtime | GOROOT() string |
| runtime | Stack([]uint8,  bool) int |
| runtime | NumCPU() int |
| net/http | Serve(net.Listener,  Handler) error |
| net/http | StripPrefix(string,  Handler) Handler |
| net/http | Head(string) \*Response,  error\*Response,  error(\*Response,  error\*Response,  error) |
| net/http | TimeoutHandler(Handler,  time.Duration,  string) Handler |
| net/http | ReadResponse(\*bufio.Reader,  \*Request) \*Response,  error\*Response,  error(\*Response,  error\*Response,  error) |
| net/http | ReadRequest(\*bufio.Reader) \*Request,  error\*Request,  error(\*Request,  error\*Request,  error) |
| net/http | ProxyFromEnvironment(\*Request) \*url.URL,  error\*url.URL,  error(\*url.URL,  error\*url.URL,  error) |
| net/http | StatusText(int) string |
| net/http | FileServer(FileSystem) Handler |
| net/http | Post(string,  string,  io.Reader) \*Response,  error\*Response,  error(\*Response,  error\*Response,  error) |
| net/http | MaxBytesReader(ResponseWriter,  io.ReadCloser,  int64) io.ReadCloser |
| net/http | CanonicalHeaderKey(string) string |
| net/http | Get(string) \*Response,  error\*Response,  error(\*Response,  error\*Response,  error) |
| net/http | NewRequest(string,  string,  io.Reader) \*Request,  error\*Request,  error(\*Request,  error\*Request,  error) |
| net/http | NewServeMux() \*ServeMux |
| net/http | ParseHTTPVersion(string) int,  int,  boolint,  int,  bool(int,  int,  boolint,  int,  bool) |
| net/http | RedirectHandler(string,  int) Handler |
| net/http | PostForm(string,  url.Values) \*Response,  error\*Response,  error(\*Response,  error\*Response,  error) |
| net/http | NotFoundHandler() Handler |
| net/http | NewFileTransport(FileSystem) RoundTripper |
| net/http | ListenAndServe(string,  Handler) error |
| net/http | ProxyURL(\*url.URL) func\*Request \*url.URL,  errorfunc\*Request \*url.URL,  error(func\*Request \*url.URL,  errorfunc\*Request \*url.URL,  error) |
| net/http | DetectContentType([]uint8) string |
| net/http | ListenAndServeTLS(string,  string,  string,  Handler) error |
| compress/lzw | NewReader(io.Reader,  Order,  int) io.ReadCloser |
| compress/lzw | NewWriter(io.Writer,  Order,  int) io.WriteCloser |
| runtime/pprof | ForLabels(context.Context,  func(string,  string) bool) |
| io/fs | FileInfoToDirEntry(FileInfo) DirEntry |
| database/sql | Open(string,  string) \*DB,  error\*DB,  error(\*DB,  error\*DB,  error) |
| go/types | NewConst(token.Pos,  \*Package,  string,  Type,  constant.Value) \*Const |
| net/http/cookiejar | New(\*Options) \*Jar,  error\*Jar,  error(\*Jar,  error\*Jar,  error) |
| net/rpc | DialHTTP(string,  string) \*Client,  error\*Client,  error(\*Client,  error\*Client,  error) |
| net/rpc | RegisterName(string,  interface{}) error |
| net/rpc | NewClientWithCodec(ClientCodec) \*Client |
| net/rpc | Dial(string,  string) \*Client,  error\*Client,  error(\*Client,  error\*Client,  error) |
| net/rpc | ServeRequest(ServerCodec) error |
| net/rpc | NewClient(io.ReadWriteCloser) \*Client |
| net/rpc | Register(interface{}) error |
| net/rpc | DialHTTPPath(string,  string,  string) \*Client,  error\*Client,  error(\*Client,  error\*Client,  error) |
| net/rpc | NewServer() \*Server |
| runtime/cgo | NewHandle(interface{}) Handle |
| crypto/rand | Read([]uint8) int,  errorint,  error(int,  errorint,  error) |
| crypto/rand | Int(io.Reader,  \*big.Int) \*big.Int,  error\*big.Int,  error(\*big.Int,  error\*big.Int,  error) |
| crypto/rand | Prime(io.Reader,  int) \*big.Int,  error\*big.Int,  error(\*big.Int,  error\*big.Int,  error) |
| net/mail | ReadMessage(io.Reader) \*Message,  error\*Message,  error(\*Message,  error\*Message,  error) |
| time | Now() Time |
| time | Since(Time) Duration |
| time | Until(Time) Duration |
| net/url | ParseRequestURI(string) \*URL,  error\*URL,  error(\*URL,  error\*URL,  error) |
| net/url | QueryUnescape(string) string,  errorstring,  error(string,  errorstring,  error) |
| net/url | QueryEscape(string) string |
| net/url | ParseQuery(string) Values,  errorValues,  error(Values,  errorValues,  error) |
| net/url | UserPassword(string,  string) \*Userinfo |
| net/url | Parse(string) \*URL,  error\*URL,  error(\*URL,  error\*URL,  error) |
| net/url | User(string) \*Userinfo |
| runtime/pprof | Profiles() []\*Profile |
| runtime/pprof | NewProfile(string) \*Profile |
| runtime/pprof | StartCPUProfile(io.Writer) error |
| runtime/pprof | Lookup(string) \*Profile |
| runtime/pprof | WriteHeapProfile(io.Writer) error |
| os | Expand(string,  func(string) string) string |
| net/textproto | CanonicalMIMEHeaderKey(string) string |
| net/textproto | NewConn(io.ReadWriteCloser) \*Conn |
| net/textproto | Dial(string,  string) \*Conn,  error\*Conn,  error(\*Conn,  error\*Conn,  error) |
| net/textproto | NewWriter(\*bufio.Writer) \*Writer |
| net/textproto | NewReader(\*bufio.Reader) \*Reader |

| Package | Receiver | Method Signature |
|---|---|---|
| syscall | WaitStatus | Signaled() bool |
| syscall | \*DLL | Release() error |
| syscall | WaitStatus | Exited() bool |
| syscall | \*DLLError | Error() string |
| syscall | \*LazyDLL | Handle() uintptr |
| syscall | Token | Close() error |
| syscall | WaitStatus | Stopped() bool |
| syscall | Token | GetTokenPrimaryGroup() \*Tokenprimarygroup,  error\*Tokenprimarygroup,  error(\*Tokenprimarygroup,  error\*Tokenprimarygroup,  error) |
| syscall | WaitStatus | ExitStatus() int |
| syscall | Token | GetTokenUser() \*Tokenuser,  error\*Tokenuser,  error(\*Tokenuser,  error\*Tokenuser,  error) |
| syscall | \*Timespec | Unix() int64,  int64int64,  int64(int64,  int64int64,  int64) |
| syscall | \*Proc | Call(...uintptr) uintptr,  uintptr,  erroruintptr,  uintptr,  error(uintptr,  uintptr,  erroruintptr,  uintptr,  error) |
| syscall | Signal | String() string |
| syscall | Errno | Temporary() bool |
| syscall | Errno | Error() string |
| syscall | \*Filetime | Nanoseconds() int64 |
| syscall | \*Proc | Addr() uintptr |
| syscall | \*SID | LookupAccount(string) string,  string,  uint32,  errorstring,  string,  uint32,  error(string,  string,  uint32,  errorstring,  string,  uint32,  error) |
| syscall | \*Timeval | Nanoseconds() int64 |
| syscall | \*RawSockaddrAny | Sockaddr() Sockaddr,  errorSockaddr,  error(Sockaddr,  errorSockaddr,  error) |
| syscall | \*LazyDLL | Load() error |
| syscall | Token | GetUserProfileDirectory() string,  errorstring,  error(string,  errorstring,  error) |
| syscall | WaitStatus | TrapCause() int |
| syscall | \*SID | String() string,  errorstring,  error(string,  errorstring,  error) |
| syscall | \*PtraceRegs | PC() uint64 |
| syscall | WaitStatus | CoreDump() bool |
| syscall | Errno | Timeout() bool |
| syscall | \*Timeval | Unix() int64,  int64int64,  int64(int64,  int64int64,  int64) |
| syscall | \*Timeval | Nano() int64 |
| syscall | WaitStatus | Signal() Signal |
| syscall | \*LazyProc | Addr() uintptr |
| syscall | WaitStatus | Continued() bool |
| syscall | \*DLL | MustFindProc(string) \*Proc |
| syscall | \*SID | Len() int |
| syscall | \*DLL | FindProc(string) \*Proc,  error\*Proc,  error(\*Proc,  error\*Proc,  error) |
| syscall | \*LazyProc | Call(...uintptr) uintptr,  uintptr,  erroruintptr,  uintptr,  error(uintptr,  uintptr,  erroruintptr,  uintptr,  error) |
| syscall | \*LazyProc | Find() error |
| syscall | WaitStatus | StopSignal() Signal |
| syscall | \*SID | Copy() \*SID,  error\*SID,  error(\*SID,  error\*SID,  error) |
| syscall | \*Timespec | Nano() int64 |
| syscall | \*LazyDLL | NewProc(string) \*LazyProc |
| database/sql/driver | RowsAffected | RowsAffected() int64,  errorint64,  error(int64,  errorint64,  error) |
| database/sql/driver | NotNull | ConvertValue(interface{}) Value,  errorValue,  error(Value,  errorValue,  error) |
| database/sql/driver | RowsAffected | LastInsertId() int64,  errorint64,  error(int64,  errorint64,  error) |
| database/sql/driver | Null | ConvertValue(interface{}) Value,  errorValue,  error(Value,  errorValue,  error) |
| bufio | ReadWriter | WriteByte(uint8) error |
| bufio | \*Reader | UnreadRune() error |
| bufio | ReadWriter | WriteRune(int32) int,  errorint,  error(int,  errorint,  error) |
| bufio | ReadWriter | ReadBytes(uint8) []uint8,  error[]uint8,  error([]uint8,  error[]uint8,  error) |
| bufio | ReadWriter | ReadLine() []uint8,  bool,  error[]uint8,  bool,  error([]uint8,  bool,  error[]uint8,  bool,  error) |
| bufio | ReadWriter | Available() int |
| bufio | \*Writer | WriteByte(uint8) error |
| bufio | \*Reader | ReadString(uint8) string,  errorstring,  error(string,  errorstring,  error) |
| bufio | \*Writer | WriteRune(int32) int,  errorint,  error(int,  errorint,  error) |
| bufio | \*Writer | Available() int |
| bufio | \*Reader | ReadLine() []uint8,  bool,  error[]uint8,  bool,  error([]uint8,  bool,  error[]uint8,  bool,  error) |
| bufio | \*Reader | ReadByte() uint8,  erroruint8,  error(uint8,  erroruint8,  error) |
| bufio | \*Writer | Buffered() int |
| bufio | \*Reader | UnreadByte() error |
| bufio | \*Reader | ReadSlice(uint8) []uint8,  error[]uint8,  error([]uint8,  error[]uint8,  error) |
| bufio | ReadWriter | WriteString(string) int,  errorint,  error(int,  errorint,  error) |
| bufio | ReadWriter | Peek(int) []uint8,  error[]uint8,  error([]uint8,  error[]uint8,  error) |
| bufio | ReadWriter | Read([]uint8) int,  errorint,  error(int,  errorint,  error) |
| bufio | ReadWriter | ReadString(uint8) string,  errorstring,  error(string,  errorstring,  error) |
| bufio | ReadWriter | Write([]uint8) int,  errorint,  error(int,  errorint,  error) |
| bufio | \*Reader | ReadRune() int32,  int,  errorint32,  int,  error(int32,  int,  errorint32,  int,  error) |
| bufio | \*Reader | Buffered() int |
| bufio | ReadWriter | ReadByte() uint8,  erroruint8,  error(uint8,  erroruint8,  error) |
| bufio | ReadWriter | UnreadByte() error |
